Date,Time,District Description,Address,Address 2,City,State,ZIP,Confirmation?
"Friday, February 20, 2026",3p - 5p,Tax Time Savings Event,2043 Bartow Ave,,Bronx,NY,10475,
"Friday, February 20, 2026",3p - 5p,Tax Time,199 Ave A,,New York,NY,10009,
"Saturday, February 21, 2026",12p - 2p,Tax Time,46 W Fordham Rd,,Bronx,NY,10468,
"Saturday, February 21, 2026",4p - 6p,Tax Time,2050 Webster Ave,,Bronx,NY,10457,
"Saturday, February 21, 2026",12p - 2p,Tax Time,1881a Rockaway Pkwy,,Brooklyn,NY,11236,
"Saturday, February 21, 2026",4p - 6p,Tax Time,11112 Flatlands Ave,,Brooklyn,NY,11207,
"Friday, February 27, 2026",3p - 5p,Tax Time,694 Main Ave,,Passaic,NJ,7055,
"Friday, February 27, 2026",3p - 5p,Tax Time,771-b Roosevelt Avenue,,Cartaret,NJ,7008,
"Saturday, February 28, 2026",12p - 2p,Tax Time,1272 Fulton St,,Brooklyn,NY,11216,
"Saturday, February 28, 2026",4p - 6p,Tax Time,1805 Fulton St,,Brooklyn,NY,11233,
"Saturday, February 28, 2026",12p - 2p,Tax Time,5723 Bergenline Ave,,West New York,NJ,7093,
"Saturday, February 28, 2026",4p - 6p,Tax Time,153 Ferry St,,Newark,NJ,7105,
"Friday, March 6, 2026",3p - 5p,Tax Time,501 W 125th St,,New York,NY,10027,
"Friday, March 6, 2026",3p - 5p,Tax Time,542 W 207 St,,New York,NY,10034,
"Saturday, March 7, 2026",12p - 2p,Tax Time,487 E Tremont Ave,,Bronx,NY,10457,
"Saturday, March 7, 2026",4p - 6p,Tax Time,713 E Tremont Ave,,Bronx,NY,10457,
"Saturday, March 7, 2026",12p - 2p,Tax Time,4008 Bergenline Ave,,Union City,NJ,7087,
"Saturday, March 7, 2026",4p - 6p,Tax Time,4900 Bergenline Ave,B2,Union City,NJ,7087,
"Saturday, March 7, 2026",12p - 2p,Tax Time,3257 Steinway St,,Astoria,NY,11103,
"Saturday, March 7, 2026",4p - 6p,Tax Time,2513 Broadway,,Astoria,NY,11106,
"Saturday, March 7, 2026",12p - 2p,Tax Time,17 Main Street,,Yonkers,NY,10701,
"Saturday, March 7, 2026",4p - 6p,Tax Time,46 Gramatan Ave,,Mount Vernon,NY,10550,
"Friday, March 13, 2026",3p - 5p,Tax Time,316 Central Ave,,Jersey City,NJ,7307,
"Friday, March 13, 2026",3p - 5p,Tax Time,105 Clinton St,,,,,
"Saturday, March 14, 2026",12p - 2p,Tax Time,136 Main St,,Paterson,NJ,7505,
"Saturday, March 14, 2026",4p - 6p,Tax Time,331 Kearny Ave,,Kearny,NJ,7032,
"Saturday, March 14, 2026",12p - 2p,Tax Time,171 Elmora Ave,,Elizabeth,NJ,7202,
"Saturday, March 14, 2026",4p - 6p,Tax Time,47 Broad Street,,Elizabeth,NJ,7201,
"Saturday, March 14, 2026",12p - 2p,Tax Time,384 North Ave,,New Rochelle,NY,10801,
"Saturday, March 14, 2026",4p - 6p,Tax Time,519b Main St,,New Rochelle,NY,10801,
"Saturday, March 14, 2026",12p - 2p,Tax Time,415a S Broadway,,Yonkers,NY,10705,
"Saturday, March 14, 2026",4p - 6p,Tax Time,358 S Broadway,,Yonkers,NY,10705,
"Friday, March 20, 2026",3p - 5p,Tax Time,6-b E 183rd St,,Bronx,NY,10453,
"Friday, March 20, 2026",3p - 5p,Tax Time,108 Beverley Rd,,Brooklyn,NY,11218,
"Friday, March 20, 2026",3p - 5p,Tax Time,1111 Rutland Road,,Brooklyn,NY,11212,
"Saturday, March 21, 2026",12p - 2p,Tax Time,74 Main St,A,Hempstead,NY,11550,
"Saturday, March 21, 2026",4p - 6p,Tax Time,428 Clinton St,,Hempstead,NY,11550,
"Saturday, March 21, 2026",12p - 2p,Tax Time,1572 Flatbush Ave,,Brooklyn,NY,11210,
"Saturday, March 21, 2026",4p - 6p,Tax Time,1911 Nostrand Ave,,Brooklyn,NY,11226,
"Saturday, March 21, 2026",12p - 2p,Tax Time,3539 Junction Blvd,,Corona,NY,11368,
"Saturday, March 21, 2026",4p - 6p,Tax Time,3919 103rd St,,Corona,NY,11368,
"Friday, March 27, 2026",3p - 5p,Tax Time,13520 Liberty Ave,,South Richmond Hill,NY,11419,
"Friday, March 27, 2026",3p - 5p,Tax Time,12801 Liberty Ave,,South Richmond Hill,NY,11419,
"Friday, March 27, 2026",3p - 5p,Tax Time,3341 Broadway,,New York,NY,10031,
"Saturday, March 28, 2026",12p - 2p,Tax Time,252 Knickerbocker Ave,,Brooklyn,NY,11237,
"Saturday, March 28, 2026",4p - 6p,Tax Time,379 Knickerbocker Ave,,Brooklyn,NY,11237,
"Saturday, March 28, 2026",12p - 2p,Tax Time,10817 101st Ave,,South Richmond Hill,NY,11419,
"Saturday, March 28, 2026",4p - 6p,Tax Time,10408 Lefferts Blvd,,South Richmond Hill,NY,11419,
"Saturday, March 28, 2026",12p - 2p,Tax Time,966 Southern Blvd,,Bronx,NY,10459,
"Saturday, March 28, 2026",4p - 6p,Tax Time,1087 Southern Blvd,,Bronx,NY,10459,
"Friday, February 27, 2026",3p - 5p,Tax Time,5600 Germantown Ave,,Philadelphia,PA,19144,
"Friday, February 27, 2026",3p - 5p,Tax Time,36 S Broad St,,Woodbury,NJ,8096,
"Saturday, February 28, 2026",12p - 2p,Tax Time,6301 Oxford Ave,,Philadelphia,PA,19111,
"Saturday, February 28, 2026",4p - 6p,Tax Time,5694 Rising Sun Ave,Unit 10,Philadelphia,PA,19120,
"Saturday, February 28, 2026",12p - 2p,Tax Time,411 E Wyoming Ave,,Philadelphia,PA,19120,
"Saturday, February 28, 2026",4p - 6p,Tax Time,3400 Aramingo Ave,Suite 14,Philadelphia,PA,19134,
"Friday, March 6, 2026",3p - 5p,Tax Time,1 Penn Sq E,,Philadelphia,PA,19107,
"Friday, March 6, 2026",3p - 5p,Tax Time,1340 Girard Ave,,Philadelphia,PA,19123,
"Saturday, March 7, 2026",12p - 2p,Tax Time,359 Pennington Ave,17a,Trenton,NJ,8618,
"Saturday, March 7, 2026",4p - 6p,Tax Time,1980 N Olden Ave,Suite Z,Ewing,NJ,8618,
"Saturday, March 7, 2026",12p - 2p,Tax Time,2542 Welsh Rd,,Philadelphia,PA,19152,
"Saturday, March 7, 2026",4p - 6p,Tax Time,8346 Bustleton Ave,,Philadelphia,PA,19152,
"Friday, March 13, 2026",3p - 5p,Tax Time,2918 N Market St,,Wilmington,DE,19802,
"Friday, March 13, 2026",3p - 5p,Tax Time,1657 Pulaski Hwy,,Bear,DE,19701,
"Saturday, March 14, 2026",12p - 2p,Tax Time,505 East Landis Ave,,Vineland,NJ,8360,
"Saturday, March 14, 2026",4p - 6p,Tax Time,700 N 2nd St,3,Millville,NJ,8332,
"Saturday, March 14, 2026",12p - 2p,Tax Time,6330 Woodland Ave,,Philadelphia,PA,19142,
"Saturday, March 14, 2026",4p - 6p,Tax Time,1448 Chester Pike,,Sharon Hill,PA,19079,
"Friday, March 20, 2026",3p - 5p,Tax Time,7221 Frankford Ave,,Philadelphia,PA,19135,
"Friday, March 20, 2026",3p - 5p,Tax Time,2740 N 5th St,,Philadelphia,PA,19133,
"Saturday, March 21, 2026",12p - 2p,Tax Time,1404 Point Breeze Ave,,Philadelphia,PA,19146,
"Saturday, March 21, 2026",4p - 6p,Tax Time,2104 S Broad St,,Philadelphia,PA,19145,
"Saturday, March 21, 2026",12p - 2p,Tax Time,5249 Frankford Ave,,Philadelphia,PA,19124,
"Saturday, March 21, 2026",4p - 6p,Tax Time,4664 Frankford Ave,,Philadelphia,PA,19124,
"Friday, March 27, 2026",3p - 5p,Tax Time,2701 North Broad St,,Philadelphia,PA,19132,
"Friday, March 27, 2026",3p - 5p,Tax Time,2644 Germantown Ave,,Philadelphia,PA,19133,
"Saturday, March 28, 2026",12p - 2p,Tax Time,5614 N Broad St,,Philadelphia,PA,19141,
"Saturday, March 28, 2026",4p - 6p,Tax Time,5602 North 5th St,,Philadelphia,PA,19120,
"Saturday, March 28, 2026",12p - 2p,Tax Time,1037 S Broad St,,Trenton,NJ,8611,
"Saturday, March 28, 2026",4p - 6p,Tax Time,507 Hamilton Ave,,Trenton,NJ,8609,
"Friday, February 27, 2026",3p - 5p,Tax Time,5506 Kenilworth Ave,,Riverdale,MD,20737,
"Saturday, February 28, 2026",3p - 5p,Tax Time,6261 Livingston Rd,,Oxon Hill,MD,20745,
"Friday, March 6, 2026",3p - 5p,Tax Time,651 E University Blvd,,Silver Spring,MD,20901,
"Saturday, March 7, 2026",3p - 5p,Tax Time,5 Willowdale Dr,Unit B12,Frederick,MD,21702,
"Friday, March 13, 2026",3p - 5p,Tax Time,5506 Kenilworth Ave,,Riverdale,MD,20737,
"Saturday, March 14, 2026",3p - 5p,Tax Time,216 N Frederick Ave,,Gaithersburg,MD,20877,
"Friday, March 20, 2026",3p - 5p,Tax Time,14435 Richmond Hwy,,Woodbridge,VA,22191,
"Saturday, March 21, 2026",3p - 5p,Tax Time,14087 Richmond Hwy,125,Woodbridge,VA,22191,
"Friday, March 27, 2026",3p - 5p,Tax Time,1305 University Blvd E,,Takoma Park,MD,20912,
"Saturday, March 28, 2026",3p - 5p,Tax Time,1500-a University Blvd,,Hyattsville,MD,20783,
"Friday, February 27, 2026",3p - 5p,Tax Time,5427 Reisterstown Rd,,Baltimore,MD,21215,
"Friday, March 6, 2026",3p - 5p,Tax Time,337 Hospital Dr,,Glen Burnie,MD,21061,
"Friday, March 13, 2026",3p - 5p,Tax Time,3727 Eastern Ave,,Baltimore,MD,21224,
"Saturday, March 14, 2026",3p - 5p,Tax Time,5214 Baltimore National Pike,Suite C,Baltimore,MD,21229,
"Friday, March 20, 2026",3p - 5p,Tax Time,710 Merritt Blvd,,Baltimore,MD,21224,
"Saturday, March 21, 2026",3p - 5p,Tax Time,200 N Highland Ave,E,Baltimore,MD,21224,
"Friday, February 20, 2026",5p - 7p,Tax Time,947 E 8th Ave,,Hialeah,FL,33010,
"Friday, February 20, 2026",5p - 7p,Tax Time,133 Ne 54 St,,Miami,FL,33137,
"Saturday, February 21, 2026",3p - 5p,Tax Time,1313 W 49th St,2,Hialeah,FL,33012,
"Saturday, February 21, 2026",3p - 5p,Tax Time,455 NE 167th St,,North Miami Beach,FL,33162,
"Friday, February 27, 2026",5p - 7p,Tax Time,15912 SW 137th Ave,,Miami,FL,33177,
"Friday, February 27, 2026",5p - 7p,Tax Time,1674 NW 17th Ave,,Miami,FL,33125,
"Saturday, February 28, 2026",5p - 7p,Tax Time,256 Washington Ave,,Homestead,FL,33030,
"Saturday, February 28, 2026",3p - 5p,Tax Time,977 W State Road 84,,Fort Lauderdale,FL,33315,
"Saturday, February 28, 2026",2p - 6p,Adbikes,1706 NW 36th St,,Miami,FL,33142,
"Sunday, March 1, 2026",1p - 5p,Adbikes,17014 Collins Ave,,Sunny Isl Bch,FL,33160,
"Friday, March 6, 2026",3p - 5p,Tax Time,563 W Oakland Park Blvd,,Wilton Manors,FL,33311,
"Friday, March 6, 2026",3p - 5p,Tax Time,2408 N University Dr,,Sunrise,FL,33322,
"Saturday, March 7, 2026",3p - 5p,Tax Time,3853 W Hillsboro Blvd,,Deerfield Beach,FL,33442,
"Saturday, March 7, 2026",3p - 5p,Tax Time,5347 N State Road 7,,Tamarac,FL,33319,
"Friday, March 13, 2026",3p - 5p,Tax Time,117 SE 8th Dr,,Okeechobee,FL,34974,
"Friday, March 13, 2026",3p - 5p,Tax Time,1024 SE Port St Lucie Blvd,,Port Saint Lucie,FL,34952,
"Saturday, March 14, 2026",3p - 5p,Tax Time,1264 N Military Trl,,West Palm Beach,FL,33409,
"Saturday, March 14, 2026",3p - 5p,Tax Time,3094 S Jog Rd,,Greenacres,FL,33467,
"Friday, March 20, 2026",3p - 5p,Tax Time,740 W 49th St,,Hialeah,FL,33012,
"Friday, March 20, 2026",3p - 5p,Tax Time,10963 SW 40th St,,Miami,FL,33165,
"Saturday, March 21, 2026",3p - 5p,Tax Time,1944 NE 163rd St,,North Miami Beach,FL,33162,
"Saturday, March 21, 2026",3p - 5p,Tax Time,12192 NW 7th Ave,,North Miami,FL,33168,
"Friday, February 20, 2026",3p - 5p,Tax Time,12449 Central Ave,,Chino,CA,91710,
"Friday, February 20, 2026",3p - 5p,Tax Time,421 N Atlantic Blvd,114,Monterey Park,CA,91754,
"Friday, February 20, 2026",3p - 5p,Tax Time,5906 S Vermont Ave,,Los Angeles,CA,90044,
"Saturday, February 21, 2026",11am-1pm,Tax Time,3852 Peck Rd,,El Monte,CA,91732,
"Saturday, February 21, 2026",5-7pm,Tax Time,705 S Alvarado St,,Los Angeles,CA,90057,
"Saturday, February 21, 2026",11am-1pm,Tax Time,827 S Vermont Ave,,Los Angeles,CA,90005,
"Friday, February 27, 2026",3-5pm,Tax Time,1363 E 4th St,Suite B,Ontario,CA,91764,
"Friday, February 27, 2026",3-5pm,Tax Time,1405 N Citrus Ave,,Covina,CA,91722,
"Friday, February 27, 2026",3-5pm,Tax Time,8401 Van Nuys Blvd,Suite 54,Panorama City,CA,91402,
"Saturday, February 28, 2026",4-6pm,Tax Time,1500 E Florence Ave,Unit B,Los Angeles,CA,90001,
"Saturday, February 28, 2026",12-2pm,Tax Time,2148 S Bristol St,Ste B,Santa Ana,CA,92704,
"Saturday, February 28, 2026",11am-1pm,Tax Time,6440 Pacific Blvd,,Huntington Park,CA,90255,
"Friday, March 6, 2026",1-3pm,Tax Time,10012 Sierra Ave,,Fontana,CA,92335,
"Friday, March 6, 2026",3-5pm,Tax Time,12843 Harbor Blvd,E2,Garden Grove,CA,92840,
"Friday, March 6, 2026",3-5pm,Tax Time,2238 E Cesar E Chavez Ave,,Los Angeles,CA,90033,
"Saturday, March 7, 2026",4-6pm,Tax Time,11123 Long Beach Blvd,Unit 4,Lynwood,CA,90262,
"Saturday, March 7, 2026",4-6pm,Tax Time,12537 E Carson St,,Hawaiian Gardens,CA,90716,
"Saturday, March 7, 2026",11am-1pm,Tax Time,2530 S San Pedro St,,Los Angeles,CA,90011,
"Saturday, March 7, 2026",4-6pm,Tax Time,2818 Saviers Rd,,Oxnard,CA,93033,
"Saturday, March 7, 2026",11am-1pm,Tax Time,4149 Tweedy Blvd,M,South Gate,CA,90280,
"Friday, March 13, 2026",3-5pm,Tax Time,4900 Irvine Blvd,Unit 104,Irvine,CA,92620,
"Friday, March 13, 2026",3-5pm,Tax Time,8116 Long Beach Blvd,A,South Gate,CA,90280,
"Saturday, March 14, 2026",11am-1pm,Tax Time,11994 Foothill Blvd,,Lake View Terrace,CA,91342,
"Saturday, March 14, 2026",11am-1pm,Tax Time,225 S State College Blvd,,Anaheim,CA,92806,
"Saturday, March 14, 2026",4-6pm,Tax Time,7903 Knott Ave,A,Buena Park,CA,90620,
"Friday, March 20, 2026",3-5pm,Tax Time,1038 E Avenue J,D11,Lancaster,CA,93535,
"Friday, March 20, 2026",3-5pm,Tax Time,1550 W Rosecrans Ave,,Compton,CA,90220,
"Saturday, March 21, 2026",4-6pm,Tax Time,621 S Broadway,Unit A,Los Angeles,CA,90014,
"Saturday, March 21, 2026",11am-1pm,Tax Time,8843 Rosecrans Ave,Suite B,Downey,CA,90242,
"Saturday, March 21, 2026",1-3pm,Tax Time,1730 E 17th St,B,Santa Ana,CA,92705,
"Friday, February 27, 2026",4-6pm,Tax Time,104 San Pablo Towne Ctr,,San Pablo,CA,94806,
"Friday, February 27, 2026",4-6pm,Tax Time,2748 Mission St,,San Francisco,CA,94110,
"Saturday, February 28, 2026",3-5pm,Tax Time,607 Broadway,,San Francisco,CA,94133,
"Friday, March 6, 2026",4-6pm,Tax Time,1675 Tully Rd,,San Jose,CA,95122,
"Friday, March 6, 2026",4-6pm,Tax Time,330 Bellam Blvd,,San Rafael,CA,94901,
"Saturday, March 7, 2026",12-2pm,Tax Time,4620 Mission St,,San Francisco,CA,94112,
"Saturday, March 7, 2026",12-2pm,Tax Time,930 23rd St,B,Richmond,CA,94804,
"Friday, March 13, 2026",4-6pm,Tax Time,2979 Jefferson St,,Napa,CA,94558,
"Saturday, March 14, 2026",4:30-6:30pm,Tax Time,3355 Sonoma Blvd,30,Vallejo,CA,94590,
"Saturday, March 14, 2026",12-2pm,Tax Time,711 Stony Point Rd,10,Santa Rosa,CA,95407,
"Friday, February 27, 2026",4-6pm,Tax Time,6332 Florin Rd,,Sacramento,CA,95823,
"Friday, February 27, 2026",3-5pm,Tax Time,550 S Cherokee Ln,,Lodi,CA,95240,
"Friday, February 27, 2026",3-5pm,Tax Time,5583 Mack Rd,,Sacramento,CA,95823,
"Saturday, February 28, 2026",12-2pm,Tax Time,2407 Northgate Blvd,,Sacramento,CA,95833,
"Saturday, February 28, 2026",12-2pm,Tax Time,1955 W Texas St,3,Fairfield,CA,94533,
"Saturday, February 28, 2026",12-2pm,Tax Time,751 E Monte Vista Ave,B,Vacaville,CA,95688,
"Friday, March 6, 2026",3-5pm,Tax Time,1650 E Hatch Rd,E,Modesto,CA,95351,
