start_date,start_time,end_time,event_type,address,address2,city,state,zip
2026-02-20,15:00,17:00,Tax Time Savings Event,2043 Bartow Ave,,Bronx,NY,10475
2026-02-20,15:00,17:00,Tax Time,199 Ave A,,New York,NY,10009
2026-02-21,12:00,14:00,Tax Time,46 W Fordham Rd,,Bronx,NY,10468
2026-02-21,16:00,18:00,Tax Time,2050 Webster Ave,,Bronx,NY,10457
2026-02-21,12:00,14:00,Tax Time,1881a Rockaway Pkwy,,Brooklyn,NY,11236
2026-02-21,16:00,18:00,Tax Time,11112 Flatlands Ave,,Brooklyn,NY,11207
2026-02-27,15:00,17:00,Tax Time,694 Main Ave,,Passaic,NJ,07055
2026-02-27,15:00,17:00,Tax Time,771-b Roosevelt Avenue,,Cartaret,NJ,07008
2026-02-28,12:00,14:00,Tax Time,1272 Fulton St,,Brooklyn,NY,11216
2026-02-28,16:00,18:00,Tax Time,1805 Fulton St,,Brooklyn,NY,11233
2026-02-28,12:00,14:00,Tax Time,5723 Bergenline Ave,,West New York,NJ,07093
2026-02-28,16:00,18:00,Tax Time,153 Ferry St,,Newark,NJ,07105
2026-03-06,15:00,17:00,Tax Time,501 W 125th St,,New York,NY,10027
2026-03-06,15:00,17:00,Tax Time,542 W 207 St,,New York,NY,10034
2026-03-07,12:00,14:00,Tax Time,487 E Tremont Ave,,Bronx,NY,10457
2026-03-07,16:00,18:00,Tax Time,713 E Tremont Ave,,Bronx,NY,10457
2026-03-07,12:00,14:00,Tax Time,4008 Bergenline Ave,,Union City,NJ,07087
2026-03-07,16:00,18:00,Tax Time,4900 Bergenline Ave,B2,Union City,NJ,07087
2026-03-07,12:00,14:00,Tax Time,3257 Steinway St,,Astoria,NY,11103
2026-03-07,16:00,18:00,Tax Time,2513 Broadway,,Astoria,NY,11106
2026-03-07,12:00,14:00,Tax Time,17 Main Street,,Yonkers,NY,10701
2026-03-07,16:00,18:00,Tax Time,46 Gramatan Ave,,Mount Vernon,NY,10550
2026-03-13,15:00,17:00,Tax Time,316 Central Ave,,Jersey City,NJ,07307
2026-03-13,15:00,17:00,Tax Time,105 Clinton St,,New York,NY,10002
2026-03-14,12:00,14:00,Tax Time,136 Main St,,Paterson,NJ,07505
2026-03-14,16:00,18:00,Tax Time,331 Kearny Ave,,Kearny,NJ,07032
