Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Event Date,Event Time,Event Type,Address ,Address 2 ,City,State,Zip
2025-08-01 00:00:00,5p-7p,Back to School,2640 N Narragansett Ave,Unit 4,Chicago,IL,60639
2025-08-02 00:00:00,12p-2p,Back to School,5643 W Roosevelt Rd,,Cicero,IL,60804
2025-08-02 00:00:00,3p-5p,Back to School,5606 W Madison St,,Chicago,IL,60644
2025-08-08 00:00:00,5p-7p,Back to School,2317 S Cicero Ave,Suite A,Cicero,IL,60804
2025-08-09 00:00:00,12p-2p,Back to School,800 N Kedzie Ave,Suite 225,Chicago,IL,60651
2025-08-09 00:00:00,3p-5p,Back to School,7961 S Cicero Ave,,Chicago,IL,60652
2025-08-14 00:00:00,5p-7p,Back to School,4640-a W Diversey Ave,,Chicago,IL,60639
2025-08-15 00:00:00,5p-7p,Back to School,2601 W 95th St,Unit A,Evergreen Park,IL,60805
2025-08-16 00:00:00,12p-2p,Back to School,1012 N Farnsworth Ave,,Aurora,IL,60505
2025-08-16 00:00:00,3p-5p,Back to School,3248 W Lawrence Ave,,Chicago,IL,60625
