,,,,,,
,,,,,,
,Date,Time,Address,City,State,Zip Code
1,October 3,12pm - 2pm,1275 Saint Nicholas,New York,NY,10033
1,October 3,4pm - 6pm,3341 Broadway,New York,NY,10031
1,October 3,4pm- 6pm,331 Kearny Ave,Kearny,NJ,7032
1,October 3,12pm- 2pm,6815 Bergenline Ave,Guttenberg,NJ,7093
1,October 4,12pm - 2pm,2143 White Plains Rd,Bronx,NY,10462
1,October 4,4pm - 6pm,1605 Westchester,Bronx,NY,10472
1,October 4,4pm - 6pm ,379 Knickerbocker,Brooklyn,NY,11237
1,October 4,12pm -  2pm,64 Graham Ave,Brooklyn,NY,11206
1,October 10,4pm- 6pm,175 Passaic Ave,Passaic,NJ,7055
1,October 10,12pm- 2pm,136 Main St,Paterson,NJ,7505
1,October 10,4pm- 6pm,3539 Junction Blvd,Corona,NY,11368
1,October 10,12pm- 2pm,1830 College Point Blvd,College Point,NY,11356
1,October 11,12pm - 2pm,15 w Burnside ave,Bronx,NY,10453
1,October 11,4pm - 6pm,200 Dyckman Street,New York,NY,10040
1,October 11,4pm - 6pm,8012 Roosevelt Ave,Jackson Heights,NY,11372
1,October 11,12pm- 2pm,5022 5th Ave,Brooklyn,NY,11220
,,,,,,
,,,,,,
16,,,,,,
