Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Event Date,Event Time,Event Type,Address ,Address 2 ,City,State,Zip
2025-08-01 00:00:00,5p-7p,Back to School,3341 Telephone Rd,Suite 112,Houston,TX,77023
2025-08-02 00:00:00,12p-2p,Back to School,433a Uvalde Rd,,Houston,TX,77015
2025-08-02 00:00:00,3p-5p,Back to School,6855 S Gessner Rd,,Houston,TX,77036
2025-08-08 00:00:00,5p-7p,Back to School,20851 FM 1485 Rd,,New Caney,TX,77357
2025-08-09 00:00:00,12p-2p,Back to School,23607 Kelly Joe Smith Rd,Suite A,Porter,TX,77365
2025-08-09 00:00:00,3p-5p,Back to School,9647 S Gessner Rd,,Houston,TX,77071
2025-08-14 00:00:00,5p-7p,Back to School,1209 Main Street,Suite D/e,Pasadena,TX,77506
2025-08-15 00:00:00,5p-7p,Back to School,2619 Red Bluff Rd,Suite 130,Pasadena,TX,77506
2025-08-16 00:00:00,12p-2p,Back to School,1700 Decker Dr,406,Baytown,TX,77520
2025-08-16 00:00:00,3p-5p,Back to School,1525 Little York Rd,Unit A01,Houston,TX,77093
