Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Event Date,Event Time,Event Type,Address ,Address 2 ,City,State,Zip
2025-08-01 00:00:00,5p-7p,Back to School,1550 W Rosecrans Ave,,Compton,CA,90220
2025-08-02 00:00:00,12p-2p,Back to School,1730 E 17th St,B,Santa Ana,CA,92705
2025-08-02 00:00:00,4p-6p,Back to School,8116 Long Beach Blvd,A,South Gate,CA,90280
2025-08-08 00:00:00,5p-7p,Back to School,576 S Mount Vernon Ave,,San Bernardino,CA,92410
2025-08-09 00:00:00,12p-2p,Back to School,1714 S Western Ave,,Los Angeles,CA,90006
2025-08-09 00:00:00,3p-5p,Back to School,648 E Arrow Hwy,,Pomona,CA,91767
2025-08-14 00:00:00,5p-7p,Back to School,7201 Pacific Blvd,,Walnut Park,CA,90255
2025-08-15 00:00:00,5p-7p,Back to School,10012 Sierra Ave,,Fontana,CA,92335
2025-08-16 00:00:00,12p-2p,Back to School,1405 N Citrus Ave,,Covina,CA,91722
2025-08-16 00:00:00,3p-5p,Back to School,10004 Hawthorne Blvd,,Inglewood,CA,90301
