Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Event Date,Event Time,Event Type,Address ,City,State,Zip
2025-08-01 00:00:00,3pm - 5pm,Back to School,15912 SW 137th Ave,Miami,FL,33177
2025-08-01 00:00:00,3pm - 5pm,Back to School,3853 W Hillsboro Blvd,Deerfield Beach,FL,33442
2025-08-02 00:00:00,3pm - 5pm,Back to School,549 E Sample Rd,Pompano Beach,FL,33064
2025-08-02 00:00:00,3pm - 5pm,Back to School,6337 Stirling Rd,Davie,FL,33314
2025-08-07 00:00:00,3pm - 5pm,Back to School,3670 Davie Blvd,Fort Lauderdale,FL,33312
2025-08-07 00:00:00,3pm - 5pm,Back to School,"1313 W 49th Street, 2",Hialeah,FL,33012
2025-08-08 00:00:00,3pm - 5pm,Back to School,12192 NW 7th Ave,North Miami,FL,33168
2025-08-08 00:00:00,3pm - 5pm,Back to School,1944 NE 163rd St,North Miami Beach,FL,33162
2025-08-09 00:00:00,3pm - 5pm,Back to School,133 Ne 54 St,Miami,FL,33137
2025-08-09 00:00:00,3pm - 5pm,Back to School,1101 Banks Rd,Margate,FL,33063
