Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Event Date,Event Time,Event Type,Address ,City,State,Zip
2025-08-08 00:00:00,4-6pm,Back to School,1733 University Ave,Bronx,NY,10453
2025-08-15 00:00:00,4-6pm,Back to School,1805 Fulton St,Brooklyn,NY,11233
2025-08-15 00:00:00,12-2pm,Back to School,126 Wyckoff Ave,Brooklyn,NY,11237
2025-08-16 00:00:00,4-6pm,Back to School,2513 Broadway,Astoria,NY,11106
2025-08-16 00:00:00,12-2pm,Back to School,415a S Broadway,Yonkers,NY,10705
2025-08-21 00:00:00,12-2pm,Back to School,1092 Nostrand Ave,Brooklyn,NY,11225
2025-08-21 00:00:00,4-6pm,Back to School,4916 Church Avenue,Brooklyn,NY,11203
2025-08-21 00:00:00,12-2pm,Back to School,9081 Sutphin Blvd,Jamaica,NY,11435
2025-08-21 00:00:00,12-2pm,Back to School,713 E Tremont Ave,Bronx,NY,10457
2025-08-21 00:00:00,4-6pm,Back to School,487 E Tremont Ave,Bronx,NY,10457
2025-08-22 00:00:00,12-2pm,Back to School,5723 Bergenline Ave,West New York,NJ,7093
2025-08-22 00:00:00,12-2pm,Back to School,8610 Roosevelt Ave,Jackson Heights,NY,11372
2025-08-29 00:00:00,12-2pm,Back to School,200 Dyckman St,New York,NY,10040
2025-08-29 00:00:00,4-6pm,Back to School,1733 University Ave,Bronx,NY,10453
2025-08-30 00:00:00,12-2pm,Back to School,1275 Saint Nicholas Ave,New York,NY,10033
2025-08-30 00:00:00,4-6pm,Back to School,15 W Burnside Ave,Bronx,NY,10453
2025-08-31 00:00:00,4-6pm,Back to School,3341 Broadway,New York,NY,10031
2025-08-15 00:00:00,4-6pm,Back to School,47 Broad Street,Elizabeth,NJ,7201
2025-08-15 00:00:00,12-2pm,Back to School,153 Ferry St,Newark,NJ,7105
2025-08-22 00:00:00,4-6pm,Back to School,3539 Junction Blvd,Corona,NY,11368
2025-08-22 00:00:00,4-6pm,Back to School,74 Main Street A,Hempstead,NY,11550
2025-08-30 00:00:00,4-6pm,Back to School,542 W 181 St,New York,NY,10033
2025-08-30 00:00:00,4-6pm,Back to School,117-14 Jamaica Ave,Richmond Hill,NY,11418
2025-08-31 00:00:00,1-3pm,Back to School,136 Main St,Paterson,NJ,7505
2025-08-22 00:00:00,4-6pm,Back to School,4008 Bergenline Ave,Union City,NJ,7087
2025-08-16 00:00:00,12-2pm,Back to School,4202b Greenpoint Ave,Sunnyside,NY,11104
2025-08-16 00:00:00,12-2pm,Back to School,2395 Westchester Ave,Bronx,NY,10461
2025-08-16 00:00:00,4-6pm,Back to School,2154 Westchester Ave,Bronx,NY,10462
2025-08-21 00:00:00,4-6pm,Back to School,13809 Queens Blvd,Jamaica,NY,11435
2025-08-15 00:00:00,12-2pm,Back to School,1318 Flatbush Ave,Brooklyn,NY,11210
2025-08-15 00:00:00,4-6pm,Back to School,1881a Rockaway Pkwy,Brooklyn,NY,11236
2025-08-16 00:00:00,4-6pm,Back to School,46 Gramatan Ave,Mount Vernon,NY,10550
2025-08-22 00:00:00,12-2pm,Back to School,1573 Dutch Broadway,Valley Stream,NY,11580
2025-08-29 00:00:00,4-6pm,Back to School,55-17 Myrtle Ave,Ridgewood,NY,11385
2025-08-29 00:00:00,12-2pm,Back to School,429 5th Ave,Brooklyn,NY,11215
2025-08-29 00:00:00,12-2pm,Back to School,9501 Jamaica Ave,Woodhaven,NY,11421
2025-08-29 00:00:00,4-6pm,Back to School,6707 18th Ave,Brooklyn,NY,11204
2025-08-30 00:00:00,12-2pm,Back to School,11304 Liberty Ave,S Richmond Hl,NY,11419
2025-08-30 00:00:00,12-2pm,Back to School,116 E Fordham Rd,Bronx,NY,10468
2025-08-31 00:00:00,12-2pm,Back to School,1905 Great Neck Rd,Copiague,NY,11726
2025-08-31 00:00:00,12-2pm,Back to School,2077 Amsterdam Ave,New York,NY,10032
