Date,Time,District Description,Address,City,State,Zip Code,Event Type
24-Oct,4-6pm,North Brooklyn,4916 Church Avenue,Brooklyn,NY,11203,Halloween Event
24-Oct,4-6pm,North Brooklyn,379 Knickerbocker Ave,Brooklyn,NY,11237,Halloween Event
25-Oct,1-3pm,North Queens,2513 Broadway,Astoria,NY,11106,Halloween Event
25-Oct,4-6pm,North Queens,55-17 Myrtle Ave,Ridgewood,NY,11385,Halloween Event
31-Oct,5-7pm,Manhattan,542 W 181 St,New Yorl,NY,10033,Halloween Event
31-Oct,5-7pm,Manhattan,199 Ave A,New York,NY,10009,Halloween Event
31-Oct,5-7pm,Bronx,1020 Longwood Ave,Bronx,NY,10459,Halloween Event
31-Oct,5-7pm,Bronx,2395 Westchester Ave,Bronx,NY,10461,Halloween Event
24-Oct,5p-7p,Chicago,200 S Neltnor Blvd,West Chicago,IL,60185,Halloween Event
25-Oct,12p-2p,Chicago,2317 S Cicero Ave,Cicero,IL,60804,Halloween Event
25-Oct,4p-6p,Chicago,5858 S Kedzie Ave,Chicago,IL,60629,Halloween Event
31-Oct,5p-7p,Chicago,3217 W 47th Pl,Chicago,IL,60632,Halloween Event
25-Oct,3p-7p,Miami,Doral Downtown,Miami,FL,33166,Halloween Event
1-Nov,3p-7p,Miami,Doral Downtown,Miami,FL,33166,Dia de Los Muertos
14-Nov,4pm - 7pm,,3341 Broaway,New York,NY,10031,UFC Meet & Greet - Daniel Cormier
15-Nov,2pm - 4:30pm,,1656 Broadway,New York,NY,10019,UFC Meet & Greet -
18-Nov,5pm - 7pm,,501 W 125th St,New York,NY,10027,Holiday Lights - Hot Cocoa
18-Nov,5pm - 7pm,,28 E 125th St,New York,NY,10035,Holiday Lights - Hot Cocoa
