Date,Time,District Description,Address,City,State,Zip Code,Event Type,Confirmation?
New York,,,,,,,,
10/24/2025,4-6pm,North Brooklyn,4916 Church Avenue,Brooklyn,NY,11203,Halloween Event,
10/24/2025,4-6pm,North Brooklyn,379 Knickerbocker Ave,Brooklyn,NY,11237,Halloween Event,
10/25/2025,1-3pm,North Queens,2513 Broadway,Astoria,NY,11106,Halloween Event,
10/25/2025,4-6pm,North Queens,55-17 Myrtle Ave,Ridgewood,NY,11385,Halloween Event,
10/31/2025,5-7pm,Manhattan,542 W 181 St,New York,NY,10033,Halloween Event,
10/31/2025,5-7pm,Manhattan,199 Ave A,New York,NY,10009,Halloween Event,
10/31/2025,5-7pm,Bronx,1020 Longwood Ave,Bronx,NY,10459,Halloween Event,
10/31/2025,5-7pm,Bronx,2395 Westchester Ave,Bronx,NY,10461,Halloween Event,
11/14/2025,4pm - 7pm,NY,3341 Broaway,New York,NY,10031,UFC Meet & Greet - Daniel Cormier,
11/15/2025,2pm - 4pm,NY,1656 Broadway,New York,NY,10019,UFC Meet & Greet -,
11/18/2025,5pm - 7pm,NY,501 W 125th St,New York,NY,10027,Holiday Lights - Hot Cocoa,
11/18/2025,5pm - 7pm,NY,28 E 125th St,New York,NY,10035,Holiday Lights - Hot Cocoa,
10/31 - 11/16,NA,NY,75-14 Roosevelt Ave,Jackson Heights,NY,11372,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,8012 Roosevelt Ave,Jackson Heights,NY,11372,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,8610 Roosevelt Ave,Jackson Heights,NY,11372,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,3919 103rd St,Corona,NY,11368,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,2513 Broadway,Astoria,NY,11106,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,939 Flatbush Ave,Brooklyn,NY,11226,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,271 Utica Ave,Brooklyn,NY,11213,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,1600 Pitkin Av,Brooklyn,NY,11212,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,4916 Church Avenue,Brooklyn,NY,11203,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NJ,379 Knickerbocker Ave,Brooklyn,NY,11237,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,3341 Broadway,New York,NY,10031,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,501 W 125th St,New York,NY,10027,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,199 Ave A,New York,NY,10009,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,5723 Bergenline Ave,West New York,NJ,7093,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NJ,3539 Junction Blvd,Corona,NY,11368,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,3546 Broadway,New York,NY,10031,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,3893 Broadway,New York,NY,10032,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,542 W 181 St,New York,NY,10033,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,4008 Bergenline Ave,Union City,NJ,7087,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,2478 Frederick Douglass Blvd,New York,NY,10027,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,1020 Longwood Ave,Bronx,NY,10459,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NJ,2395 Westchester Ave,Bronx,NY,10461,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NJ,1318 Flatbush Ave,Brooklyn,NY,11210,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NJ,55-17 Myrtle Ave,Ridgewood,NY,11385,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NY,394 Utica Ave,Brooklyn,NY,11226,Exclusive Saving - Limited-time Offer.,
10/31 - 11/16,NA,NJ,4900 Bergenline Ave,Union City,NJ,7087,Exclusive Saving - Limited-time Offer.,
