event_date,start_date,end_date,event_time,event_type,address,address2,city,state,zip
2025-10-24,2025-10-24,2025-10-24,4-6pm,Halloween Event,4916 Church Avenue,,Brooklyn,NY,11203
2025-10-24,2025-10-24,2025-10-24,4-6pm,Halloween Event,379 Knickerbocker Ave,,Brooklyn,NY,11237
2025-10-25,2025-10-25,2025-10-25,1-3pm,Halloween Event,2513 Broadway,,Astoria,NY,11106
2025-10-25,2025-10-25,2025-10-25,4-6pm,Halloween Event,55-17 Myrtle Ave,,Ridgewood,NY,11385
2025-10-31,2025-10-31,2025-10-31,5-7pm,Halloween Event,542 W 181 St,,New York,NY,10033
2025-10-31,2025-10-31,2025-10-31,5-7pm,Halloween Event,199 Ave A,,New York,NY,10009
2025-10-31,2025-10-31,2025-10-31,5-7pm,Halloween Event,1020 Longwood Ave,,Bronx,NY,10459
2025-10-31,2025-10-31,2025-10-31,5-7pm,Halloween Event,2395 Westchester Ave,,Bronx,NY,10461
2025-11-14,2025-11-14,2025-11-14,4pm - 7pm,UFC Meet & Greet - Daniel Cormier,3341 Broaway,,New York,NY,10031
2025-11-15,2025-11-15,2025-11-15,2pm - 4pm,UFC Meet & Greet,1656 Broadway,,New York,NY,10019
2025-11-18,2025-11-18,2025-11-18,5pm - 7pm,Holiday Lights - Hot Cocoa,501 W 125th St,,New York,NY,10027
2025-11-18,2025-11-18,2025-11-18,5pm - 7pm,Holiday Lights - Hot Cocoa,28 E 125th St,,New York,NY,10035
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,75-14 Roosevelt Ave,,Jackson Heights,NY,11372
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,8012 Roosevelt Ave,,Jackson Heights,NY,11372
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,8610 Roosevelt Ave,,Jackson Heights,NY,11372
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,3919 103rd St,,Corona,NY,11368
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,2513 Broadway,,Astoria,NY,11106
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,939 Flatbush Ave,,Brooklyn,NY,11226
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,271 Utica Ave,,Brooklyn,NY,11213
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,1600 Pitkin Av,,Brooklyn,NY,11212
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,4916 Church Avenue,,Brooklyn,NY,11203
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,379 Knickerbocker Ave,,Brooklyn,NY,11237
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,3341 Broadway,,New York,NY,10031
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,501 W 125th St,,New York,NY,10027
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,199 Ave A,,New York,NY,10009
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,5723 Bergenline Ave,,West New York,NJ,7093
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,3539 Junction Blvd,,Corona,NY,11368
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,3546 Broadway,,New York,NY,10031
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,3893 Broadway,,New York,NY,10032
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,542 W 181 St,,New York,NY,10033
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,4008 Bergenline Ave,,Union City,NJ,7087
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,2478 Frederick Douglass Blvd,,New York,NY,10027
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,1020 Longwood Ave,,Bronx,NY,10459
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,2395 Westchester Ave,,Bronx,NY,10461
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,1318 Flatbush Ave,,Brooklyn,NY,11210
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,55-17 Myrtle Ave,,Ridgewood,NY,11385
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,394 Utica Ave,,Brooklyn,NY,11226
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,4900 Bergenline Ave,,Union City,NJ,7087
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,3504 Bergenline Ave,,Union City,NJ,7087
2025-10-31,2025-10-31,2025-11-16,All Day,Exclusive Saving - Limited-time Offer,6815 Bergenline Ave,,Guttenberg,NJ,7093
2025-12-06,2025-12-06,2025-12-06,12pm - 2pm,Photos with Santa,694 Main Ave,,Passaic,NJ,7055
2025-12-06,2025-12-06,2025-12-06,4pm - 6pm,Photos with Santa,136 Main St,,Paterson,NJ,7505
2025-12-06,2025-12-06,2025-12-06,12pm - 2pm,Photos with Santa,14707 Hillside Ave,,Jamaica,NY,11435
2025-12-06,2025-12-06,2025-12-06,4pm - 6pm,Photos with Santa,75-14 Roosevelt Ave,,Jackson Heights,NY,11372
2025-12-06,2025-12-06,2025-12-06,12pm - 2pm,Photos with Santa,126 Wyckoff Ave,,Brooklyn,NY,11237
